lyrebird,metaphlan4,phanta
1.0282776349614395,0.06940874035989718,0.5501285347043702
1.0422222222222222,0.06666666666666667,0.5733333333333334
1.0372960372960374,0.07692307692307693,0.585081585081585
0.9619834710743802,0.07933884297520662,0.5057851239669422
0.9906542056074766,0.06542056074766354,0.5560747663551402
0.996031746031746,0.061507936507936505,0.5634920634920635
0.9882352941176471,0.06274509803921569,0.5352941176470588
0.9607390300230947,0.046189376443418015,0.5034642032332564
0.9379699248120301,0.046992481203007516,0.5639097744360902
1.0555555555555556,0.06280193236714976,0.5917874396135265
